date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:33:31	42/42	---MCZ	200	added ('OK')	text/plain	etag:W/%225bbceb80-16%22	https://kavaghana.com/robots.txt		(from )
13:33:31	189151/189151	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Oct%202021%2013:33:31%20GMT	https://kavaghana.com/	C:/My%20Web%20Sites/KAVA/kavaghana.com/index.html	(from )
13:33:31	1633/1633	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225bb596df-661%22	https://kavaghana.com/assets/images/svgs/kava-brand-el.svg	C:/My%20Web%20Sites/KAVA/kavaghana.com/assets/images/svgs/kava-brand-el.svg	(from https://kavaghana.com/)
13:33:32	181905/181905	---MCZ	200	added ('OK')	text/css	etag:W/%225be43ac4-2c691%22	https://kavaghana.com/assets/css/all.css?v=1541683908	C:/My%20Web%20Sites/KAVA/kavaghana.com/assets/css/all97b5.css	(from https://kavaghana.com/)
13:33:32	4649/4649	---MCZ	200	added ('OK')	image/png	etag:W/%225bb596df-1229%22	https://kavaghana.com/apple-touch-icon.png	C:/My%20Web%20Sites/KAVA/kavaghana.com/apple-touch-icon.png	(from https://kavaghana.com/)
13:33:32	918/918	---MCZ	200	added ('OK')	image/png	etag:W/%225bb596df-396%22	https://kavaghana.com/favicon-32x32.png	C:/My%20Web%20Sites/KAVA/kavaghana.com/favicon-32x32.png	(from https://kavaghana.com/)
13:33:32	557/557	---MCZ	200	added ('OK')	image/png	etag:W/%225bb596df-22d%22	https://kavaghana.com/favicon-16x16.png	C:/My%20Web%20Sites/KAVA/kavaghana.com/favicon-16x16.png	(from https://kavaghana.com/)
13:33:33	426/426	---MCZ	200	added ('OK')	text/html	etag:W/%221aa-5775f956af663%22	https://kavaghana.com/site.webmanifest	C:/My%20Web%20Sites/KAVA/kavaghana.com/site.html	(from https://kavaghana.com/)
13:33:33	1939/1939	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225bb596df-793%22	https://kavaghana.com/safari-pinned-tab.svg	C:/My%20Web%20Sites/KAVA/kavaghana.com/safari-pinned-tab.svg	(from https://kavaghana.com/)
13:33:33	147718/147718	---MC-	200	added ('OK')	text/javascript	date:Thu,%2007%20Oct%202021%2013:33:34%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/KAVA/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://kavaghana.com/)
13:33:34	40064/40064	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Oct%202021%2013:33:34%20GMT	https://kavaghana.com/portfolio	C:/My%20Web%20Sites/KAVA/kavaghana.com/portfolio.html	(from https://kavaghana.com/)
13:33:34	35594/35594	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Oct%202021%2013:33:35%20GMT	https://kavaghana.com/services	C:/My%20Web%20Sites/KAVA/kavaghana.com/services.html	(from https://kavaghana.com/)
